country,macro_zones,region_group,regional_development,region_economic_development,income_group,gni_per_capita_usd,gdp_per_capita_usd,"Suicide mortality rate (per 100,000 population)","Intentional homicides (per 100,000 people)",sec_enrol_pct_gross,edu_spend_pct_gdp,Population growth (annual %),urban_population_pct,rural_population,Refugee population by country or territory of asylum,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Labor force with advanced education (% of total working-age population with advanced education),internet_use_pct,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Labor force with basic education (% of total working-age population with basic education),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment, total (% of total labor force) (national estimate)",health_expenditure_pct_gdp,foreign_investment_pct_gdp,ease_of _doing _business_rank,business_environment_group,renewable_energy_pct,infant_mortality_per_1k,pm25_ug_m3,control_of_corruption_pctile
Ireland,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"78,970.00","103,887.80",9.6,0.44,133.15,3.01,2.71,64.47,35.53,"113,902.00",57.85,6.12,82.72,95.59,65.49,31.37,37.27,38.61,35.85,2.91,4.29,6.07,-25.39,24,High,12.7,2.7,8.17,92.92
India,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,lower_middle,"2,540.00","2,480.79",12.7,2.94,78.86,4.12,0.88,36.36,63.64,"252,867.00","4,133.55",2.05,65.27,43.41,55.76,55.95,13.23,10.71,15.83,13.32,4.17,3.28,0.79,62,Moderate,34.9,25.5,48.39,41.51
Hungary,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"19,670.00","22,141.87",16.6,0.77,102.91,4.68,-0.54,72.86,27.14,"63,180.00",60.93,4.57,77.73,91.45,61.05,32.87,26.13,28.06,23.94,1.6,4.11,7.38,-34.01,52,Moderate,15.3,3.3,14.14,54.72
Kazakhstan,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,upper_middle,"10,730.00","12,918.87",17.6,3.19,97.19,4.46,1.46,58.18,41.82,"42,685.00",320.35,11.8,78.6,92.88,68.7,48.01,37.68,40.75,34.11,4.4,4.86,3.92,2.07,25,High,2,8.7,20.03,47.17
Lebanon,Eastern_Hemisphere,MENA,low,low_transitional,lower_middle,"4,170.00","3,654.36",2.8,2.26,64.7,1.67,0.5,89.43,10.57,"1,279,108.00",24.67,3,60.79,90.05,48.89,48.54,22.14,21.99,22.32,14.47,11.3,10.06,2.51,143,Low,6.8,14.9,19.23,10.85
Latvia,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"22,630.00","22,502.84",20.1,3.04,104.76,4.62,-0.1,68.67,31.33,"45,761.00",10.96,3.49,77.4,92.19,61.18,31.28,31.95,37.03,25.56,3.31,6.47,9.04,4,19,High,44,2.8,11.6,74.53
Luxembourg,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"83,980.00","128,678.19",11.3,0.63,107.84,4.7,2.02,92.08,7.92,"13,735.00",7.86,10.51,79.82,99.35,62.24,40.14,42.33,41.21,43.43,3.9,5.18,5.46,-27.61,72,Moderate,20.5,2.2,8.67,96.7
Malaysia,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,upper_middle,"11,710.00","11,379.09",5.7,0.72,85.51,3.63,1.23,78.72,21.28,"135,872.00",325.41,8.07,77.92,97.69,69.26,63.15,14.56,14.7,14.43,3.47,3.93,4.38,1.98,12,High,7.5,6.7,16.19,61.79
Mexico,Western_Hemisphere,LatinAmerica,middle,emerging_developing,upper_middle,"11,980.00","13,790.02",5.3,28.18,98.36,4.25,0.87,81.58,18.42,"124,784.00",712.1,3.75,78.14,81.18,60.38,56.79,17.13,16.34,18,3.43,2.77,6.08,1.69,60,Moderate,13,11,14.99,17.45
Malta,Eastern_Hemisphere,MENA,low,low_transitional,high,"34,750.00","40,395.77",6.1,0.38,102.7,5.36,3.92,94.94,5.06,"11,724.00",2.03,3.05,88.3,91.92,65.65,43.56,22.62,23.25,22.04,2.13,3.11,10.58,112.63,88,Moderate,8.6,4.9,11.72,58.49
Netherlands,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"62,540.00","64,572.01",11.8,0.65,138.77,5.05,0.99,93.18,6.82,"237,767.00",150.75,6.87,80.56,97.01,68.55,49.55,36.63,35.55,37.73,2.74,3.54,11.29,-26.77,42,Moderate,12.2,3.4,10.89,96.23
New Zealand,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,high,"48,220.00","48,280.81",11,2.6,114.77,5.23,2.05,86.99,13.02,"1,837.00",84.21,6.85,83.42,95.73,72.11,59.41,32.28,35.56,28.85,2.93,3.73,10.05,1.42,1,High,28.9,3.9,6.49,98.58
Mozambique,Eastern_Hemisphere,Sub-Saharan Africa,low,low_transitional,low,540,622.99,13.6,1.26,37.89,6.16,2.95,38.75,61.25,"5,152.00",33.95,0.29,85.66,21.21,78.82,73.49,3.04,2.36,3.91,9.3,6.79,9.05,12.81,138,Low,76.9,48.7,20.08,22.17
Norway,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"102,910.00","87,925.09",11.8,0.54,119.44,3.97,1.14,84,16.01,"103,606.00",56.72,7.98,80.38,99,65.68,50.05,31.17,37.08,25.29,2.15,3.57,8.14,2.21,9,High,61.4,1.8,6.06,99.06
Pakistan,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,lower_middle,"1,460.00","1,365.28",8.9,3.98,42.36,1.87,1.55,38.04,61.96,"1,988,231.00",532.37,0.81,67.47,32.95,52.73,53.25,8.63,7.08,10.18,16.15,6.34,2.91,0.61,108,Low,41.6,51,43,18.87
Peru,Western_Hemisphere,LatinAmerica,middle,emerging_developing,upper_middle,"7,090.00","7,906.59",2.8,5.71,105.9,4.24,1.1,78.92,21.08,"6,712.00",94.05,1.73,84.4,74.68,72.69,66.58,25.17,26.77,23.78,5.34,4.9,6.15,1.46,76,Moderate,30.6,11.7,27.04,25.47
Poland,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"19,900.00","22,056.67",11.3,0.71,108.48,4.67,-0.37,60.22,39.78,"971,478.00",363.79,7.82,81.55,86.41,58.84,40.24,28.65,32.16,24.71,1.28,2.74,6.68,4.24,40,Moderate,15.2,3.8,17.96,68.87
Romania,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"16,660.00","18,404.27",9.7,1.26,83.03,3.32,0.06,54.67,45.33,"87,487.00",105.85,3.71,82.14,89.2,51.47,27.23,15.28,15.7,14.83,1.57,5.59,6.48,2.48,55,Moderate,23.6,5.5,14.85,56.13
Qatar,Eastern_Hemisphere,MENA,low,low_transitional,high,"79,430.00","80,195.87",5.8,0.33,104.56,3.23,-0.05,99.35,0.65,197,154.38,48.16,88.88,100,87.43,88.1,30.39,49.1,25.34,0.28,0.13,2.89,-0.22,77,Moderate,0,4.5,75.66,75
Philippines,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,lower_middle,"4,320.00","3,804.87",2.2,4.32,92.87,3.62,0.81,48.29,51.71,934,256.15,1.4,71.15,75.21,61.44,59.3,18.08,20.15,15.94,3.7,2.6,5.1,2.09,95,Low,28,21.8,20.29,32.55
Portugal,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"26,150.00","27,331.21",11.5,0.8,121.98,4.78,1.37,67.91,32.09,"62,807.00",53,3.42,83.59,85.79,59.45,44.94,23.96,26.65,20.84,4.57,6.51,10.62,3.36,39,High,32.3,2.6,8.45,74.06
Saudi Arabia,Eastern_Hemisphere,MENA,low,low_transitional,high,"31,860.00","32,093.96",6,0.8,119.97,5.11,3.33,84.95,15.05,477,805.16,18.73,78.88,100,66.6,60.45,30.89,35.96,28.46,5.87,4.01,5.97,1.15,63,Moderate,0.1,5.5,53.15,66.51
Russian Federation,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"14,250.00","13,817.05",25.1,6.8,92.48,4.05,-0.29,75.33,24.67,"1,230,131.00","2,672.04",14.39,80,92.25,62.71,23.85,41.22,42.83,39.23,1.88,3.08,7.39,-0.5,29,High,3.5,3.8,11.27,15.57
Singapore,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,high,"70,590.00","84,734.26",11.2,0.1,103.04,2.19,4.86,100,0,"234,585.59",74.29,9.64,85.47,94.29,68.56,54.87,36.19,34.39,38.15,3.45,3.44,5.57,34.95,2,High,1.1,1.8,13.87,98.11
South Africa,Eastern_Hemisphere,Sub-Saharan Africa,low,low_transitional,upper_middle,"6,480.00","6,022.54",23.5,41.87,108.3,6.15,1.33,68.82,31.18,"67,145.00",522.12,6.29,80.92,74.7,55.02,46.52,12.2,13.15,11.16,15.14,32.1,8.27,0.9,84,Moderate,9.7,27.7,23.75,45.75
Spain,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"32,830.00","33,509.01",7.7,0.61,119.02,4.32,1.23,81.55,18.45,"385,701.00",285.38,4.49,79.09,95.45,58.06,45.19,24.71,27.09,22.16,7.38,12.18,10.74,2.65,31,High,19,2.5,9.58,71.7
Sweden,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"60,480.00","55,516.84",14.7,1.08,139.41,7.57,0.47,88.74,11.26,"237,632.00",49.12,3.36,77.83,95.7,67.53,45.72,33.69,38.99,28.41,3.91,7.61,10.67,3.93,10,High,57.9,2,5.64,97.64
United Arab Emirates,Eastern_Hemisphere,MENA,low,low_transitional,high,"49,020.00","49,040.69",6.4,0.47,101.94,3.89,3.98,87.78,12.22,"1,416.00",267.82,19.65,77.89,100,78.45,74.25,51.07,51.81,50.5,2.66,2.15,5.31,4.34,16,High,1,4.3,36.31,82.55
United States,Western_Hemisphere,North_America,high,developed_industrialised,high,"80,450.00","82,769.41",16.1,6.81,97.47,5.43,0.49,83.3,16.7,"409,202.00","5,960.80",13.98,71.87,97.13,62.6,44.16,38.57,39.66,37.41,2.37,3.64,16.57,1.26,6,High,10.9,5.4,7.81,83.02
United Kingdom,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"47,700.00","49,463.86",7.9,1,113.23,4.96,0.82,84.64,15.36,"448,620.00",379.32,4.42,87.29,95.34,62.23,56.94,37.13,37.76,36.49,2.68,4.03,11.34,-2.65,8,High,12.2,3.6,9.91,90.57
Ukraine,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,upper_middle,"4,950.00","5,069.70",21.6,3.84,84.65,5.93,-8.42,70.1,29.91,"2,512.00",216.09,3.61,66.51,79.22,54.64,32.16,25.17,26.77,23.78,9.03,9.83,8.01,2.69,64,Moderate,8.9,7,14.9,25.94
